recall,precision,threshold
0.000000,0.470588,0.887687
0.000000,0.470588,0.880585
0.020833,0.470588,0.866174
0.020833,0.470588,0.857812
0.041667,0.470588,0.856705
0.041667,0.470588,0.841235
0.062500,0.470588,0.765419
0.062500,0.470588,0.740130
0.062500,0.470588,0.708723
0.062500,0.470588,0.701485
0.083333,0.470588,0.645746
0.083333,0.470588,0.548783
0.104167,0.470588,0.484627
0.104167,0.470588,0.449816
0.125000,0.470588,0.358624
0.145833,0.470588,0.315927
0.166667,0.470588,0.152471
0.166667,0.444444,0.076083
0.166667,0.421053,0.000000
