recall,precision
0.000000,1.000000
0.001927,1.000000
0.003854,1.000000
0.005780,1.000000
0.007707,1.000000
0.009634,1.000000
0.011561,1.000000
0.013487,1.000000
0.015414,1.000000
0.017341,1.000000
0.019268,1.000000
0.021195,1.000000
0.023121,1.000000
0.025048,1.000000
0.026975,1.000000
0.028902,1.000000
0.030829,1.000000
0.032755,1.000000
0.034682,1.000000
0.036609,1.000000
0.038536,1.000000
0.040462,1.000000
0.042389,1.000000
0.044316,1.000000
0.046243,1.000000
0.048170,1.000000
0.050096,1.000000
0.052023,1.000000
0.053950,1.000000
0.055877,1.000000
0.057803,1.000000
0.059730,1.000000
0.061657,1.000000
0.063584,1.000000
0.065511,1.000000
0.067437,1.000000
0.069364,1.000000
0.071291,1.000000
0.073218,1.000000
0.075145,1.000000
0.077071,1.000000
0.078998,1.000000
0.080925,1.000000
0.082852,1.000000
0.084778,1.000000
0.086705,1.000000
0.088632,1.000000
0.090559,1.000000
0.092486,1.000000
0.094412,1.000000
0.096339,1.000000
0.098266,1.000000
0.100193,1.000000
0.102119,1.000000
0.104046,1.000000
0.105973,1.000000
0.107900,1.000000
0.109827,1.000000
0.111753,1.000000
0.113680,1.000000
0.115607,1.000000
0.117534,1.000000
0.119461,1.000000
0.121387,1.000000
0.123314,1.000000
0.125241,1.000000
0.127168,1.000000
0.129094,1.000000
0.131021,1.000000
0.132948,1.000000
0.134875,1.000000
0.136802,1.000000
0.138728,1.000000
0.140655,1.000000
0.142582,1.000000
0.144509,1.000000
0.146435,1.000000
0.148362,1.000000
0.150289,1.000000
0.152216,1.000000
0.154143,1.000000
0.156069,1.000000
0.157996,1.000000
0.159923,1.000000
0.161850,1.000000
0.163776,1.000000
0.165703,1.000000
0.167630,1.000000
0.169557,1.000000
0.171484,1.000000
0.173410,1.000000
0.175337,1.000000
0.177264,1.000000
0.179191,1.000000
0.181118,1.000000
0.183044,1.000000
0.184971,1.000000
0.186898,1.000000
0.188825,1.000000
0.190751,1.000000
0.192678,1.000000
0.194605,1.000000
0.196532,1.000000
0.198459,1.000000
0.200385,1.000000
0.202312,1.000000
0.204239,1.000000
0.206166,1.000000
0.208092,1.000000
0.210019,1.000000
0.211946,1.000000
0.213873,1.000000
0.215800,1.000000
0.217726,1.000000
0.219653,1.000000
0.221580,1.000000
0.223507,1.000000
0.223507,0.993506
0.225434,0.993506
0.227360,0.993506
0.229287,0.993506
0.231214,0.993506
0.233141,0.993506
0.235067,0.993506
0.236994,0.993506
0.238921,0.993506
0.240848,0.993506
0.242775,0.993506
0.244701,0.993506
0.246628,0.993506
0.248555,0.993506
0.250482,0.993506
0.252408,0.993506
0.254335,0.993506
0.256262,0.993506
0.258189,0.993506
0.260116,0.993506
0.262042,0.993506
0.263969,0.993506
0.265896,0.993506
0.267823,0.993506
0.269750,0.993506
0.271676,0.993506
0.273603,0.993506
0.275530,0.993506
0.277457,0.993506
0.279383,0.993506
0.281310,0.993506
0.283237,0.993506
0.285164,0.993506
0.287091,0.993506
0.289017,0.993506
0.290944,0.993506
0.292871,0.993506
0.294798,0.993506
0.294798,0.987261
0.296724,0.987261
0.298651,0.987261
0.298651,0.981250
0.300578,0.981250
0.302505,0.981250
0.302505,0.975309
0.304432,0.975309
0.304432,0.969325
0.304432,0.963415
